,anomaly_score
0,0.28622970809558057
1,0.14185903093615515
2,0.3203012113595143
3,0.4663466216290753
4,0.17426148593368607
5,0.6899102571681432
6,0.6818027696473802
7,0.24000315175303796
8,0.11370667240149329
10,0.147398943530119
11,0.12102912691158996
12,0.12614498649842404
13,0.16040091312714183
14,0.12935287519234662
15,0.16844561115013806
16,0.41192498488490026
17,0.18078985732324396
19,0.15968552132849112
20,0.1803162946890438
21,0.23381072364165997
22,0.18520534404320738
23,0.2001392503459838
24,0.19848295754426226
25,0.20114748083762657
27,0.2922972887029296
28,0.17076209309712623
29,0.4379045022690769
30,0.4895238688967592
31,0.4706639366981072
32,0.1934799937728352
33,0.2636912408495703
34,0.2422659738395733
35,0.23671789736673854
36,0.18586487836138882
37,0.18886815178518318
38,0.18995226967781423
39,0.396657026538382
40,0.1260069907247797
41,0.2561267720998177
42,0.6128050271691569
43,0.22051351906940408
44,0.38373810803033787
45,0.19514644758206223
46,0.3413952969938559
48,0.37277217725914624
49,0.3296913750553255
50,0.3780141250308942
51,0.19989790404778918
52,0.17599607479371598
53,0.49753308748011793
54,0.2387522674063336
55,0.14594135384507811
56,0.197824943615032
57,0.2881645314913195
58,0.2112463878523647
59,0.1611921485053292
60,0.3797760821184053
61,0.7580454635391461
62,0.2363913563971994
63,0.20251062839646738
64,0.49229428426156274
65,0.15602597279186653
66,0.4474928085712775
67,0.16873733560708792
68,0.09872560776184555
69,0.23768443472281026
70,0.27246681014040103
71,0.16915612008347541
72,0.4214263794420446
73,0.4896220946598173
74,0.15888905097071393
75,0.12514532438409876
76,0.14720745094271168
77,0.2672321638737097
78,0.17622864360071638
79,0.21162417110768472
80,0.35292571324545735
81,0.20937241344378976
82,0.5771573030402619
83,0.32605957603113184
84,0.1447993199653928
85,0.1627000652633364
86,0.381208943794642
87,0.20856690406239453
88,0.3613991647212008
89,0.20850938496220361
90,0.31557803078536106
91,0.23456986469479982
92,0.30200774272620035
93,0.40188271132323594
94,0.44390083994954094
95,0.25048796037612586
96,0.270022152865824
97,0.2200540389971371
98,0.23601289276485876
99,0.1754384971928066
100,0.12653896669835973
101,0.15674210112468573
102,0.2088534739135909
103,0.21489433223545196
104,0.145675679236444
105,0.31039655276587386
106,0.3105525949416357
107,0.3366363278390463
108,0.30239374817067544
109,0.3048687312664055
110,0.34607894969534947
111,0.3202184883755447
112,0.20771185946766968
113,0.20438186970799016
114,0.20479186085706802
115,0.3722617463764941
116,0.5316884962818841
117,0.1762378150208826
118,0.3461765647865802
119,0.15246673149656503
120,0.33741342872589974
121,0.4451798104087345
122,0.1587136248311235
123,0.2126539288933761
124,0.19982447320636992
125,0.17049230915662275
126,0.23024111705815065
127,0.24144816852465814
128,0.2214206347487086
129,0.2007330330557196
130,0.19021212429580284
131,0.1826111220969445
132,0.19210537390124735
133,0.2140312639275591
134,0.18630564288712756
135,0.28215136917870215
136,0.35189001181085805
137,0.37740914368182454
138,0.34170501563274347
139,0.15061189674018993
140,0.11758679468776569
141,0.21009037248265136
142,0.320766894833263
143,0.21071008251238765
144,0.2656341521814709
145,0.3777573837254173
146,0.44574678502347254
147,0.21144337847442807
148,0.2943625927353761
149,0.30675870430882635
150,0.16200302900329755
151,0.23388259369975536
153,0.5086382213119411
154,0.2822622434547084
155,0.355159424040158
156,0.18329338947751375
157,0.1235652163949402
158,0.202069120387236
159,0.2507398334244352
160,0.14083659136679882
161,0.3904418920434579
162,0.3546078775774933
163,0.14109657150280924
164,0.20112021288513632
165,0.1959869103822642
166,0.3204049550270631
167,0.25901074235637045
168,0.3039406670457674
169,0.1671366421924993
170,0.4716717586794722
171,0.35085641755900465
172,0.23386360717586244
173,0.1445979001224535
174,0.13991072820063993
175,0.20094316828265632
176,0.2969834253286937
177,0.09645517965258436
178,0.29152677896013285
179,0.16664220502715038
180,0.17358080053012437
181,0.17641452074302988
182,0.16362763789545073
183,0.4034330369534483
184,0.14064500107903516
185,0.31769379647931917
186,0.2603316186418567
187,0.25419467382582805
188,0.26238609410742963
189,0.34715406907216345
190,0.15967218652135767
191,0.33248493933068235
192,0.22999058806922928
193,0.25405567811903396
194,0.259062743695205
195,0.24786675390627683
198,0.3668028608135245
199,0.44652127693640425
200,0.2164988380501444
201,0.5245163977587126
202,0.5165493201876787
203,0.08318693140913754
204,0.38528023817733814
205,0.2662103867650096
206,0.12556672364061472
207,0.20196855780251977
211,0.2288194761012002
