latent_dim,step_size,val_loss,test_error,anomaly_threshold,maha_dist_ratio_95,anomaly percent
64,16,0.018019236624240875,0.01219323929399252,0.043377939031471933,3.377197842912029,2.881844380403458
64,8,0.024040494114160538,0.0184993427246809,0.05236701020197123,2.9459752577004674,4.6493756003842455
64,4,0.03558515012264252,0.027297835797071457,0.07183661022516309,2.8274451593033167,6.090297790585975
64,2,0.07229186594486237,0.06043531745672226,0.1364847315259915,2.4368801255535084,8.357348703170029
64,1,0.4545897841453552,0.4193257987499237,1.7190922029462794,5.236808500707047,1.7098943323727185
32,32,0.027108890935778618,0.018288636580109596,0.06119724455928945,3.1710578151245983,2.8049951969260327
32,16,0.04583084583282471,0.03486112132668495,0.11119755793493503,3.135143338852936,4.111431316042267
32,8,0.06868215650320053,0.05458945035934448,0.15421882964903688,2.726461412118003,5.437079731027858
32,4,0.1656356155872345,0.13700446486473083,0.3157713627880308,2.354781220652474,8.66474543707973
32,2,0.42438217997550964,0.3894626200199127,1.0649547207882013,3.9680795831416633,4.245917387127761
32,1,0.42674627900123596,0.40384167432785034,1.6010692971949412,5.05510515524968,1.882804995196926
16,64,0.07768165320158005,0.05578574165701866,0.2601197409197712,4.969938775954183,1.287223823246878
16,32,0.06191921606659889,0.046811413019895554,0.17245824563539383,3.3421564972191695,2.5168107588856867
16,16,0.06867170333862305,0.05486861616373062,0.16857594935824538,2.750792027865394,4.207492795389049
16,8,0.13716764748096466,0.10401328653097153,0.25560332386252615,2.527348315063281,7.377521613832854
16,4,0.3561634123325348,0.3112291395664215,1.0204888503217828,3.806362439714451,3.3237271853986554
16,2,0.43492087721824646,0.39528173208236694,2.0399984611116335,5.497158562183508,1.38328530259366
16,1,0.44077348709106445,0.41037309169769287,1.679600885679054,5.213223744559711,1.729106628242075
8,64,0.10126787424087524,0.07754435390233994,0.3277620852125402,4.643638275953495,1.7675312199807878
8,32,0.07312367856502533,0.057286959141492844,0.22752831682290064,3.8406522988827296,2.1517771373679153
8,16,0.06959076970815659,0.0572282113134861,0.15766923206755776,2.8875796618184033,5.437079731027858
8,8,0.28889480233192444,0.2321612685918808,0.8068677764078563,3.491162974836164,3.3621517771373677
8,4,0.25871410965919495,0.22492025792598724,0.6731504217413218,3.3999755974884365,3.919308357348703
8,2,0.42997977137565613,0.4063541889190674,1.595349189479066,5.066466249921849,1.882804995196926
8,1,0.44088879227638245,0.41599011421203613,1.716238625743443,5.240936089977136,1.6906820365033621
4,64,0.13978907465934753,0.11347072571516037,0.5210959883210448,4.700943786559063,1.4217098943323727
4,32,0.1050819456577301,0.08617047220468521,0.32999323785924106,3.465090955835466,2.5552353506243994
4,16,0.08852071315050125,0.07480399310588837,0.18051222132596628,2.5429738589990074,6.685878962536022
4,8,0.15854132175445557,0.14047950506210327,0.3667436172991178,2.680218586538013,6.051873198847262
4,4,0.3194059729576111,0.26239141821861267,0.873886196941293,3.124492524892071,3.2853025936599423
4,2,0.4329882860183716,0.4104640483856201,1.7096694674394317,5.236808500707047,1.7098943323727185
4,1,0.9291279315948486,0.41135290265083313,1.7111953035301448,5.240936089977136,1.6906820365033621
2,64,0.21190880239009857,0.18140922486782074,0.6125458144717632,3.877948863952844,2.9971181556195963
2,32,0.18760058283805847,0.15286138653755188,0.5476325248237086,3.4523701613488966,2.574447646493756
2,16,0.16646748781204224,0.12891142070293427,0.44777346021577696,3.1888123944922846,3.554274735830932
2,8,0.44739648699760437,0.4196469783782959,1.7253565074375872,5.236808500707047,1.7098943323727185
2,4,0.3870105445384979,0.35604262351989746,1.2443594085518148,4.047279113383064,2.862632084534102
2,2,0.43991735577583313,0.41075795888900757,2.00978314470421,5.59306954078561,1.4024975984630164
2,1,0.4414157271385193,0.4164198040962219,1.7141786903924723,5.240936089977136,1.6906820365033621
1,64,0.29859739542007446,0.2629088759422302,0.8297278024670627,3.917634702748804,2.9010566762728147
1,32,0.2617416977882385,0.22821778059005737,0.7947514698425108,3.7978896720025483,2.9202689721421713
1,16,0.2545682489871979,0.21997234225273132,0.7797150373790057,3.3217659203118597,3.3621517771373677
1,8,0.44618093967437744,0.4202284514904022,1.6778385664925946,5.236808500707047,1.7098943323727185
1,4,0.434065043926239,0.392436683177948,1.246214387321067,4.163176682914183,3.2084534101825173
1,2,0.44179973006248474,0.4162915349006653,1.7121077909455615,5.240936089977136,1.6906820365033621
1,1,0.4421274662017822,0.4168120324611664,1.7132128829979807,5.240936089977136,1.6906820365033621
