loss,val_loss
0.455983102,0.450346116
0.418863267,0.449825814
0.401920199,0.449131065
0.395916075,0.448337831
0.390392095,0.447796143
0.388669491,0.447581193
0.386590689,0.447368242
0.388983577,0.447095446
0.385990262,0.446833819
0.383300483,0.446620232
0.387168616,0.446415907
0.38337177,0.446275558
0.382342249,0.446187427
0.382314622,0.446184249
0.383318782,0.446298806
0.383957952,0.446509896
0.383173108,0.446522111
0.383456141,0.446414772
0.382450163,0.446391524
0.383187085,0.44649623
0.387968183,0.446665956
0.384309232,0.446735971
0.381419271,0.446695468
0.379737765,0.446607018
0.378410071,0.446526105
0.377707541,0.446464581
0.376799226,0.446425624
0.375884205,0.446409642
0.375540674,0.446406462
0.374401003,0.446411548
0.37371403,0.446423716
0.372966975,0.446174667
0.372966409,0.446050438
0.372501969,0.4460276
0.372114956,0.44594369
0.371780753,0.445852697
0.371458799,0.445775599
0.371185094,0.445706492
0.370924503,0.445596248
0.370635748,0.445431606
0.370598912,0.445225193
0.370510876,0.444974646
0.370204568,0.444631336
0.369945467,0.444114121
0.369683444,0.443687673
0.369452029,0.443322749
0.369246513,0.44300659
0.36907357,0.442625548
0.368860334,0.442452734
0.369059056,0.441873633
0.369410038,0.441118494
0.369225323,0.440368895
0.368884295,0.439851817
0.368546635,0.439328473
0.368467957,0.439089595
0.368412495,0.438806447
0.368325382,0.438445564
0.367981523,0.43830694
0.367807299,0.436378886
0.36759007,0.435057269
0.367751479,0.434000456
0.367695421,0.433320692
0.367557496,0.432792399
0.367839038,0.431773908
0.367639691,0.431361354
0.367483795,0.430127687
0.368210495,0.429046173
0.367745906,0.428778417
0.36766082,0.428122988
0.367481768,0.426777352
0.367884487,0.426480898
0.368148476,0.42705319
0.368088394,0.426968009
0.368018717,0.424745138
0.367674142,0.421465045
0.367361486,0.42162746
0.367190152,0.417794147
0.366783738,0.419519966
0.366577476,0.42110902
0.366240859,0.422140225
0.366082251,0.421959828
0.366029084,0.421702698
0.365734041,0.421306535
0.365388423,0.420615827
0.365339339,0.419992318
0.365455568,0.419087341
0.366010994,0.418361897
0.365786582,0.417065435
0.365448117,0.4171893
0.365203798,0.417191162
0.364826411,0.417110705
0.364679664,0.417150843
0.364546359,0.415682384
0.364382654,0.41688295
0.364422411,0.417380185
0.364287227,0.416917821
0.364126652,0.415737052
0.364090681,0.414858818
0.363985866,0.414176147
0.363893718,0.413142855
0.363846034,0.412544955
0.363725513,0.411819194
0.36355713,0.411840851
0.36351639,0.412159416
0.363369375,0.412350074
0.363301009,0.411963265
0.363182038,0.411933433
0.363023072,0.411621862
0.36298278,0.411211804
0.362968832,0.410830762
0.362955332,0.409959067
0.362902433,0.40952717
0.362835348,0.409486713
0.362785101,0.408966911
0.362721384,0.407111144
0.362695038,0.408078689
0.362688363,0.406952496
0.362609208,0.406852969
0.362707764,0.405944177
0.362535059,0.405280803
0.362418443,0.404963873
0.362283707,0.404580606
0.362264037,0.405255784
0.36218372,0.405036612
0.362148196,0.405113711
0.362081051,0.405110487
0.362077057,0.404842005
0.361982167,0.404997881
0.361943752,0.404953793
0.361858547,0.405296105
0.36187458,0.40538292
0.361694574,0.406021639
0.361821473,0.405937911
0.361700714,0.405854546
0.361581981,0.405617894
0.361473233,0.405449303
0.361475229,0.405335198
0.361405551,0.405364894
0.361349404,0.405354133
0.361287385,0.405253196
0.36124438,0.405291791
0.361219227,0.405239076
0.361241251,0.405050461
0.361248702,0.405283891
0.361233294,0.405462607
0.361162335,0.405462016
0.361110419,0.405464967
